Identificator;Data sended;Response;Expected;Result
Extended session;10 40;;50 40;
DIAG_Err_0x5F-TC-1651;19 06 00 1B 01 FF;;59 06 00 1B 01;
DIAG_Err_0x5F-TC-1652;19 06 00 1B 02 FF;;59 06 00 1B 02;
DIAG_Err_0x5F-TC-1653;19 06 00 1B 03 FF;;59 06 00 1B 03;
DIAG_Err_0x5F-TC-1654;19 06 00 1B 04 FF;;59 06 00 1B 04;
DIAG_Err_0x5F-TC-1655;19 06 00 1B 05 FF;;59 06 00 1B 05;
DIAG_Err_0x5F-TC-1656;19 06 00 1B 06 FF;;59 06 00 1B 06;
DIAG_Err_0x5F-TC-1657;19 06 00 1B 07 FF;;59 06 00 1B 07;
DIAG_Err_0x5F-TC-1658;19 06 00 1B 08 FF;;59 06 00 1B 08;
DIAG_Err_0x5F-TC-1659;19 06 00 1B 09 FF;;59 06 00 1B 09;
DIAG_Err_0x5F-TC-1660;19 06 00 1B 0A FF;;59 06 00 1B 0A;
DIAG_Err_0x5F-TC-1661;19 06 00 1B 0B FF;;59 06 00 1B 0B;
DIAG_Err_0x5F-TC-1662;19 06 00 1B 0C FF;;59 06 00 1B 0C;
DIAG_Err_0x5F-TC-1663;19 06 00 1B 0D FF;;59 06 00 1B 0D;
DIAG_Err_0x5F-TC-1664;19 06 00 1B 0E FF;;59 06 00 1B 0E;
DIAG_Err_0x5F-TC-1665;19 06 00 1B 0F FF;;59 06 00 1B 0F;
DIAG_Err_0x5F-TC-1666;19 06 00 1B 10 FF;;59 06 00 1B 10;
DIAG_Err_0x5F-TC-1667;19 06 00 1B 11 FF;;59 06 00 1B 11;
DIAG_Err_0x5F-TC-1668;19 06 00 1B 12 FF;;59 06 00 1B 12;
DIAG_Err_0x5F-TC-1669;19 06 00 1B 13 FF;;59 06 00 1B 13;
DIAG_Err_0x5F-TC-1670;19 06 00 1B 14 FF;;59 06 00 1B 14;
DIAG_Err_0x5F-TC-1671;19 06 00 1B 17 FF;;59 06 00 1B 17;
DIAG_Err_0x5F-TC-1672;19 06 00 1B 18 FF;;59 06 00 1B 18;
DIAG_Err_0x5F-TC-1673;19 06 00 1B 19 FF;;59 06 00 1B 19;
DIAG_Err_0x5F-TC-1674;19 06 00 1B 1A FF;;59 06 00 1B 1A;
DIAG_Err_0x5F-TC-1675;19 06 00 1B 1B FF;;59 06 00 1B 1B;
DIAG_Err_0x5F-TC-1676;19 06 00 1B 1D FF;;59 06 00 1B 1D;
DIAG_Err_0x5F-TC-1677;19 06 00 1B 1E FF;;59 06 00 1B 1E;
DIAG_Err_0x5F-TC-1678;19 06 00 1B 1F FF;;59 06 00 1B 1F;
DIAG_Err_0x5F-TC-1891;19 06 00 1F 48 FF;;59 06 00 1F 48;
DIAG_Err_0x5F-TC-1892;19 06 00 1F 4A FF;;59 06 00 1F 4A;
DIAG_Err_0x5F-TC-1893;19 06 00 1F 4B FF;;59 06 00 1F 4B;
